id,title,stock,price,type_id,primaryProductId,image,url_key,categories,short_description,description,description_sin_stop_words,especificaciones_del_producto,especificaciones_del_producto_sin_stop_words,modo_de_uso,modo_de_uso_sin_stop_words,meta_title,meta_keyword,meta_description,category_names,marca,weight,acabado,beneficios,catquiz,clasificacion,cobertura,created_at,country_of_manufacture,color_family,color,cyber,descuento,formato,highlights,ingredientes,is_returnable,news,preocupacion,product_label,status,subcatquiz,tipo_de_piel,tipo_de_punta,tipo_esmalte,zona_de_aplicacion
II-35356,Shampoo Reestructurante Cabello Dañado 400 ml,8,10990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/i/n/insight-ii-35356_1.jpg,https://dbs.cl/ii-35356-shampoo-reestructurante-cabello-danado,Capilar > Shampoo,Shampoo para Cabello,"Shampoo específicamente diseñado para reparar el cabello dañado. Su fórmula con ingredientes activos nutritivos reparan y fortalecen la fibra capilar, intensificando el brillo. Contiene extracto orgánico de Trigo + Phytocomplejo reestructurante (Manteca de Olivo, Aceite de Argán y Aceite de Salvado de Arroz).","Shampoo específicamente diseñado reparar cabello dañado Su fórmula ingredientes activos nutritivos reparan fortalecen fibra capilar, intensificando brillo Contiene extracto orgánico Trigo + Phytocomplejo reestructurante Manteca Olivo, Aceite Argán Aceite",Contenido: 400 ml | Tamaño: 7.2 cm largo x 7.2 cm ancho x 16.2 cm alto,Contenido: 400 ml | Tamaño: 7 2 cm largo x 7 2 cm ancho x 16 2 cm alto,"Aplicar en el cabello húmedo, distribuyéndolo homogéneamente. Masajea el cabello y enjuágalo con abundante agua.","Aplicar cabello húmedo, distribuyéndolo homogéneamente Masajea cabello enjuágalo abundante agua",Shampoo Reestructurante Cabello Dañado 400 Ml | dbs.cl,"Shampoo, Insight",Shampoo Reestructurante Cabello Dañado,"Shampoo,Capilar,Insight,Shop,Beauty Heroes,DBS,Pure Beauty,Hasta 30% dcto,CYBER,Beauty Offers,Black Friday",INSIGHT,400 ml,,"Brillo,Fortalecedor",,"Vegana,Cruelty Free",,2020-05-18 02:56:11,IT,,Blackest Black,No,,Crema,"Antiedad,Antioxidante,Awards,Vegano,Cruelty free",,,No,"Opacidad,Daño,Pérdida de elasticidad",,Habilitado,,,,,Cabello
,,,,,,,,Marcas > Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Beauty Heroes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Pure Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Black Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW-11061,Crema Manos Super Rich,7,4990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/d/i/dirty-works-dw-11061_2.jpg,https://dbs.cl/dw-11061-crema-manos,Marcas > Dirty Works,Crema de Manos,"Exquisita crema con alantoína, un protector natural de la piel. Además contiene aceite de jojoba y manteca de cacao, ambos conocidos por sus beneficios de hidratación intensa. Ideal para llevar a todos lados.","Exquisita crema alantoína, protector natural piel Además contiene aceite jojoba manteca cacao, ambos conocidos beneficios hidratación intensa Ideal llevar lados",Contenido: 100ml | Tamaño: 6.2 cm largo x 3.7 cm ancho x 14.5 cm alto,Contenido: 100ml | Tamaño: 6 2 cm largo x 3 7 cm ancho x 14 5 cm alto,"Aplicar generosamente tan seguido como sea necesario, masajear manos para lograr mejores resultados.","Aplicar generosamente tan seguido necesario, masajear manos lograr mejores resultados",Crema Manos Super Rich | dbs.cl,"hid, hidratantes, kit, ml, cremas, hid de cremas, crema de manos, piel, manos, hidratación",Crema Manos,"Dirty Works,Shop,DBS,Hasta 50% dcto,CYBER,Beauty Offers,Hidratantes",DIRTY WORKS,100ml,,Hidratación,,,,2020-05-18 02:56:11,GB,,Blackest Black,No,,Crema,,,,No,Sequedad,,Habilitado,Hidratantes,Todo tipo,,,Manos
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 50% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Corporal > Hidratantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II-35369,Mascarilla Protectora Color 250 ml,4,9990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/i/n/insight-ii-35369_1.jpg,https://dbs.cl/ii-35369-mascarilla-protectora-del-color,Capilar > Mascarillas,Mascarilla Capilar,"Mascarilla antioxidante y protectora del cabello. Protege la fibra capilar de agentes externos y prolonga el color del cabello, realzando su brillo. Contiene Aceite orgánico de Macadamia + Phytocomplejo Protector del Color (Extracto de Henna, Manteca de Mango y Aceite de Semillas de Uvas).","Mascarilla antioxidante protectora cabello Protege fibra capilar agentes externos prolonga color cabello, realzando brillo Contiene Aceite orgánico Macadamia + Phytocomplejo Protector Color Extracto Henna, Manteca Mango Aceite Semillas Uvas",Contenido: 250 ml | Tamaño: 8.2 cm largo x 2.8 cm ancho x 21.4 cm alto,Contenido: 250 ml | Tamaño: 8 2 cm largo x 2 8 cm ancho x 21 4 cm alto,"Aplicar sobre el cabello húmedo, distribuyéndolo homogéneamente. Deja actuar el producto por 5 a 10 minutos y enjuaga con abundante agua.","Aplicar cabello húmedo, distribuyéndolo homogéneamente Deja actuar producto 5 10 minutos enjuaga abundante agua",Mascarilla Protectora Color 250 Ml | dbs.cl,"Mascarillas, Insight",Mascarilla Protectora Del Color,"Mascarillas,Capilar,Insight,Shop,DBS,Pure Beauty,Hasta 30% dcto,CYBER,Outlet,Black Friday,Top 13",INSIGHT,250 ml,,"Hidratación,Brillo",,"Vegana,Cruelty Free",,2020-05-18 02:56:11,IT,,,No,,Crema,"Antiedad,Antioxidante,Vegano,Cruelty free",,,No,Cabello teñido,Sale,Habilitado,Mascarillas,,,,Cabello
,,,,,,,,Marcas > Insight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Pure Beauty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 30% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Outlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Black Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > Top 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW-32061,Exfoliante Corporal Lovely Scrubbly,17,6990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/d/i/dirty-works-dw-32061_2.jpg,https://dbs.cl/dw-32061-exfoliante-corporal-lovely-scrubbly,Corporal > Exfoliantes,Exfoliante Corporal,¡La piel seca no tiene ninguna oportunidad! La piedra pómez y el polvo de semilla de durazno exfolian suavemente la piel mientras que el aloe calma la piel. Lo suficientemente suave como para usarlo a diario y el poder suficiente para mantener tu piel suave como un durazno.,¡La piel seca ninguna oportunidad! La piedra pómez polvo semilla durazno exfolian suavemente piel mientras aloe calma piel Lo suficientemente suave usarlo diario poder suficiente mantener piel suave durazno,Contenido: 250ml | Tamaño: 4.5 cm largo x 4.5 cm ancho x 20.2 cm alto,Contenido: 250ml | Tamaño: 4 5 cm largo x 4 5 cm ancho x 20 2 cm alto,"Aplicar exfoliante en la palma de tus manos y luego masajear sobre la piel húmeda con movimientos circulares. Enjuagar con abundante agua. A continuación, se recomienda aplicar un hidratante corporal una vez se haya secado la piel.","Aplicar exfoliante palma manos luego masajear piel húmeda movimientos circulares Enjuagar abundante agua A continuación, recomienda aplicar hidratante corporal vez secado piel",Exfoliante Corporal Lovely Scrubbly | dbs.cl,"exf, exfoliantes, kit, exfoliante corporal, exf de cremas, hidratación, piel suave, aloe",Exfoliante Corporal Lovely Scrubbly,"Exfoliantes,Corporal,Dirty Works,Shop,DBS,Hasta 50% dcto,CYBER,Beauty Offers,Summer Glow",DIRTY WORKS,250ml,,Hidratación,,Vegana,,2020-05-18 02:56:11,GB,,,No,,Crema,Vegano,,,No,Sequedad,,Habilitado,Exfoliantes,,,,Cuerpo
,,,,,,,,Marcas > Dirty Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 50% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW-88960,Exfoliante Corporal De Coco Paradise Found,28,7990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/d/w/dw-88960.jpg,https://dbs.cl/dw-88960-exfoliante-corporal-de-coco-paradise-found,Corporal > Exfoliantes,Exfoliante Corporal,"Dile adiós a la piel seca y opaca con este espumoso exfoliante de coco. Contiene cristales de azúcar naturales para exfoliar suavemente tu piel, aceite de coco para nutrir y manteca de karité para hidratar tu piel. Luce una piel suave y fabulosa con este exquisito exfoliante mientras disfrutas de su delicioso aroma a coco y karité!","Dile adiós piel seca opaca espumoso exfoliante coco Contiene cristales azúcar naturales exfoliar suavemente piel, aceite coco nutrir manteca karité hidratar piel Luce piel suave fabulosa exquisito exfoliante mientras disfrutas delicioso aroma coco",Contenido: 250gr | Tamaño: 7.7 cm largo x 4.6 cm ancho x 18.1 cm alto,Contenido: 250gr | Tamaño: 7 7 cm largo x 4 6 cm ancho x 18 1 cm alto,Aplicar exfoliante sobre la piel húmeda y masajear suavemente con movimientos circulares sobre el cuerpo. Enjuagar y secar la piel suavemente.,Aplicar exfoliante piel húmeda masajear suavemente movimientos circulares cuerpo Enjuagar secar piel suavemente,Exfoliante Corporal de Coco Paradise Found | dbs.cl,"exf, exfoliantes, kit, coco, cremas, exf de cremas, exfoliante corporal, cuerpo, coco, hidratación, karité, piel, piel seca",Exfoliante De Cuerpo De Coco Paradise Found!,"Exfoliantes,Corporal,Dirty Works,Shop,Hasta $15.000,DBS,Hasta 50% dcto,CYBER,Beauty Offers,Summer Glow",DIRTY WORKS,250gr,,"Hidratación,Brillo",,,,2020-05-18 02:56:11,GB,,,No,,Crema,,Coco,,No,"Opacidad,Sequedad",,Habilitado,Exfoliantes,,,,Cuerpo
,,,,,,,,Marcas > Dirty Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 50% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sale > Beauty Offers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DW-32063,Crema Corporal The Big Softie,15,7990,PRIMARY,,https://dbs.cl/media/catalog/product/cache/cf140414c54a2d940638d4d8ea32b853/d/i/dirty-works-dw-32063_2_1_.jpg,https://dbs.cl/dw-32063-crema-corporal-the-big-softie,Corporal > Hidratantes,Crema Corporal,"¡Ding Ding! Manteca de karité y cacao en una esquina, macadamia y aceite de almendras dulces en la otra. Ricas mantecas y aceites nutritivos se unen para entregarte una hidratación como ninguna. Esta deliciosa y suave crema deja una puntuación de, Tú:1, Piel Seca: 0.","¡Ding Ding! Manteca karité cacao esquina, macadamia aceite almendras dulces Ricas mantecas aceites nutritivos unen entregarte hidratación ninguna Esta deliciosa suave crema deja puntuación de, Tú:1, Piel Seca: 0",Contenido: 400ml | Tamaño: 10.0 cm largo x 10.0 cm ancho x 10.0 cm alto,Contenido: 400ml | Tamaño: 10 0 cm largo x 10 0 cm ancho x 10 0 cm alto,Aplicar una cantidad generosa sobre el cuerpo y masajear sobre la piel con movimientos circulares hasta lograr su absorción.,Aplicar cantidad generosa cuerpo masajear piel movimientos circulares lograr absorción,Crema Corporal The Big Softie | dbs.cl,"hid, hidratantes, kit, ml, cremas, hid de cremas, crema corporal, set de cremas",Crema Corporal The Big Softie,"Hidratantes,Corporal,Dirty Works,Shop,Hasta $15.000,DBS,Hasta 50% dcto,CYBER,Beauty Offers,Summer Glow",DIRTY WORKS,400ml,,Hidratación,,Vegana,,2020-05-18 02:56:11,GB,,01 Transparent,No,,Crema,Vegano,,,No,Sequedad,,Habilitado,Hidratantes,,,,Cuerpo
,,,,,,,,Marcas > Dirty Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Navidad > Regalos por Precio > Hasta $15.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Season > DBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CYBER > Hasta 50% dcto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
